 - 0.	 - 0.	
0	2362.0	
1	2327.0	
2	2351.0	
3	2371.0	
4	2343.0	
5	2327.0	
6	2308.0	
7	2290.0	
8	2285.0	
9	2249.0	
10	2261.0	
11	2254.0	
12	2164.0	
13	2193.0	
14	2200.0	
15	2179.0	
16	2145.0	
17	2179.0	
18	2127.0	
19	2119.0	
20	2140.0	
21	2106.0	
22	2099.0	
23	2065.0	
24	2078.0	
25	2105.0	
26	2004.0	
27	2062.0	
28	2051.0	
29	2020.0	
30	1968.0	
31	2002.0	
32	1981.0	
33	1998.0	
34	1962.0	
35	1955.0	
36	1950.0	
37	1919.0	
38	1936.0	
39	1915.0	
40	1885.0	
41	1905.0	
42	1907.0	
43	1895.0	
44	1874.0	
45	1868.0	
46	1841.0	
47	1893.0	
48	1848.0	
49	1821.0	
50	1842.0	
51	1825.0	
52	1793.0	
53	1799.0	
54	1835.0	
55	1782.0	
56	1777.0	
57	1771.0	
58	1789.0	
59	1741.0	
60	1786.0	
61	1776.0	
62	1742.0	
63	1735.0	
64	1742.0	
65	1734.0	
66	1698.0	
67	1707.0	
68	1708.0	
69	1694.0	
70	1716.0	
71	1687.0	
72	1714.0	
73	1702.0	
74	1665.0	
75	1658.0	
76	1654.0	
77	1657.0	
78	1678.0	
79	1654.0	
80	1666.0	
81	1158.0	
82	1663.0	
83	1667.0	
84	1646.0	
85	1619.0	
86	1644.0	
87	1631.0	
88	1623.0	
89	1597.0	
90	1604.0	
91	1598.0	
92	1571.0	
93	1596.0	
94	1582.0	
95	1585.0	
96	1569.0	
97	1556.0	
98	1542.0	
99	1542.0	
100	1556.0	
101	1533.0	
102	1565.0	
103	1565.0	
104	1497.0	
105	1507.0	
106	1520.0	
107	1494.0	
108	1460.0	
109	1484.0	
110	1497.0	
111	1465.0	
112	1474.0	
113	1474.0	
114	1449.0	
115	1451.0	
116	1449.0	
117	1454.0	
118	1445.0	
119	1399.0	
120	1410.0	
121	1394.0	
122	1424.0	
123	1351.0	
124	1378.0	
125	1361.0	
126	1371.0	
127	1366.0	
128	1356.0	
129	1356.0	
130	1356.0	
131	1320.0	
132	1309.0	
133	1306.0	
134	1334.0	
135	1295.0	
136	1295.0	
137	1275.0	
138	1287.0	
139	1295.0	
140	1263.0	
141	1267.0	
142	1243.0	
143	1254.0	
144	1251.0	
145	1238.0	
146	1220.0	
147	1247.0	
148	1236.0	
149	1186.0	
150	1232.0	
151	1200.0	
152	1211.0	
153	1213.0	
154	1197.0	
155	1183.0	
156	1188.0	
157	1179.0	
158	1187.0	
159	1148.0	
160	1166.0	
161	1149.0	
162	1144.0	
163	1141.0	
164	1130.0	
165	1140.0	
166	1124.0	
167	1109.0	
168	1107.0	
169	1102.0	
170	1118.0	
171	1130.0	
172	1115.0	
173	1087.0	
174	1068.0	
175	1082.0	
176	1110.0	
177	1086.0	
178	1079.0	
179	1073.0	
180	1067.0	
181	1065.0	
182	1065.0	
183	1057.0	
184	1060.0	
185	1066.0	
186	1071.0	
187	1059.0	
188	1055.0	
189	1036.0	
190	1053.0	
191	1034.0	
192	1035.0	
193	1042.0	
194	1047.0	
195	1044.0	
196	1044.0	
197	1045.0	
198	1021.0	
199	1018.0	
200	1023.0	
201	1026.0	
202	1019.0	
203	1064.0	
204	1015.0	
205	1023.0	
206	1013.0	
207	1016.0	
208	1026.0	
209	1010.0	
210	1036.0	
211	1010.0	
212	1005.0	
213	1003.0	
214	1001.0	
215	994.0	
216	1000.0	
217	994.0	
218	994.0	
219	992.0	
220	982.0	
221	988.0	
222	1009.0	
223	999.0	
224	993.0	
225	994.0	
226	983.0	
227	983.0	
228	996.0	
229	991.0	
230	992.0	
231	983.0	
232	978.0	
233	977.0	
234	993.0	
235	972.0	
236	989.0	
237	978.0	
238	982.0	
239	959.0	
240	962.0	
241	979.0	
242	959.0	
243	972.0	
244	961.0	
245	959.0	
246	982.0	
247	968.0	
248	988.0	
249	954.0	
250	959.0	
251	946.0	
252	982.0	
253	972.0	
254	947.0	
255	976.0	
256	963.0	
257	971.0	
258	967.0	
259	982.0	
260	969.0	
261	957.0	
262	967.0	
263	970.0	
264	947.0	
265	953.0	
266	955.0	
267	966.0	
268	954.0	
269	956.0	
270	934.0	
271	971.0	
272	956.0	
273	954.0	
274	944.0	
275	942.0	
276	952.0	
277	944.0	
278	945.0	
279	939.0	
280	942.0	
281	966.0	
282	950.0	
283	944.0	
284	949.0	
285	955.0	
286	934.0	
287	941.0	
288	947.0	
289	930.0	
290	940.0	
291	937.0	
292	932.0	
293	946.0	
294	933.0	
295	951.0	
296	942.0	
297	923.0	
298	926.0	
299	920.0	
300	944.0	
301	947.0	
302	930.0	
303	943.0	
304	919.0	
305	935.0	
306	932.0	
307	930.0	
308	925.0	
309	922.0	
310	927.0	
311	924.0	
312	926.0	
313	924.0	
314	909.0	
315	924.0	
316	908.0	
317	930.0	
318	930.0	
319	915.0	
320	936.0	
321	910.0	
322	930.0	
323	935.0	
324	893.0	
325	918.0	
326	919.0	
327	922.0	
328	902.0	
329	933.0	
330	940.0	
