 - 0.	 - 0.	
0	6340.0	
1	6303.0	
2	6310.0	
3	6140.0	
4	6118.0	
5	6117.0	
6	5982.0	
7	6050.0	
8	5955.0	
9	5890.0	
10	5815.0	
11	5803.0	
12	5749.0	
13	5728.0	
14	5611.0	
15	5612.0	
16	5522.0	
17	5558.0	
18	5418.0	
19	5375.0	
20	5404.0	
21	5397.0	
22	5295.0	
23	5286.0	
24	5220.0	
25	5179.0	
26	5212.0	
27	5171.0	
28	5053.0	
29	5039.0	
30	4975.0	
31	5023.0	
32	4940.0	
33	4876.0	
34	4874.0	
35	4805.0	
36	4770.0	
37	4665.0	
38	4702.0	
39	4633.0	
40	4671.0	
41	4590.0	
42	4528.0	
43	4527.0	
44	4503.0	
45	4450.0	
46	4484.0	
47	4457.0	
48	4354.0	
49	4361.0	
50	4351.0	
51	4409.0	
52	4388.0	
53	4303.0	
54	4236.0	
55	4223.0	
56	4242.0	
57	4214.0	
58	4203.0	
59	4157.0	
60	4124.0	
61	4047.0	
62	4078.0	
63	4111.0	
64	3974.0	
65	3997.0	
66	4002.0	
67	4027.0	
68	3958.0	
69	4020.0	
70	3884.0	
71	3899.0	
72	3882.0	
73	3857.0	
74	3863.0	
75	3754.0	
76	3857.0	
77	3751.0	
78	3814.0	
79	3787.0	
80	3731.0	
81	2802.0	
82	3736.0	
83	3695.0	
84	3656.0	
85	3759.0	
86	3580.0	
87	3647.0	
88	3627.0	
89	3583.0	
90	3542.0	
91	3529.0	
92	3562.0	
93	3542.0	
94	3485.0	
95	3448.0	
96	3411.0	
97	3391.0	
98	3406.0	
99	3347.0	
100	3371.0	
101	3347.0	
102	3288.0	
103	3293.0	
104	3270.0	
105	3295.0	
106	3234.0	
107	3167.0	
108	3171.0	
109	3113.0	
110	3155.0	
111	3118.0	
112	3102.0	
113	3123.0	
114	3004.0	
115	3045.0	
116	2972.0	
117	2991.0	
118	2932.0	
119	2864.0	
120	2849.0	
121	2825.0	
122	2813.0	
123	2853.0	
124	2775.0	
125	2779.0	
126	2729.0	
127	2678.0	
128	2626.0	
129	2604.0	
130	2630.0	
131	2600.0	
132	2548.0	
133	2527.0	
134	2530.0	
135	2493.0	
136	2443.0	
137	2435.0	
138	2405.0	
139	2405.0	
140	2369.0	
141	2348.0	
142	2350.0	
143	2271.0	
144	2253.0	
145	2263.0	
146	2242.0	
147	2203.0	
148	2251.0	
149	2157.0	
150	2190.0	
151	2149.0	
152	2137.0	
153	2092.0	
154	2090.0	
155	2087.0	
156	2020.0	
157	2047.0	
158	2018.0	
159	2006.0	
160	1956.0	
161	1935.0	
162	1927.0	
163	1926.0	
164	1895.0	
165	1870.0	
166	1865.0	
167	1852.0	
168	1802.0	
169	1815.0	
170	1764.0	
171	1773.0	
172	1807.0	
173	1743.0	
174	1741.0	
175	1730.0	
176	1720.0	
177	1718.0	
178	1707.0	
179	1724.0	
180	1697.0	
181	1651.0	
182	1623.0	
183	1649.0	
184	1629.0	
185	1613.0	
186	1595.0	
187	1612.0	
188	1611.0	
189	1557.0	
190	1551.0	
191	1538.0	
192	1562.0	
193	1540.0	
194	1508.0	
195	1530.0	
196	1478.0	
197	1477.0	
198	1479.0	
199	1458.0	
200	1458.0	
201	1483.0	
202	1506.0	
203	1468.0	
204	1452.0	
205	1435.0	
206	1419.0	
207	1426.0	
208	1425.0	
209	1398.0	
210	1425.0	
211	1378.0	
212	1394.0	
213	1385.0	
214	1355.0	
215	1388.0	
216	1354.0	
217	1386.0	
218	1371.0	
219	1353.0	
220	1350.0	
221	1365.0	
222	1321.0	
223	1320.0	
224	1317.0	
225	1288.0	
226	1328.0	
227	1296.0	
228	1306.0	
229	1328.0	
230	1291.0	
231	1290.0	
232	1293.0	
233	1294.0	
234	1278.0	
235	1281.0	
236	1259.0	
237	1262.0	
238	1253.0	
239	1260.0	
240	1241.0	
241	1255.0	
242	1227.0	
243	1259.0	
244	1228.0	
245	1236.0	
246	1226.0	
247	1215.0	
248	1198.0	
249	1189.0	
250	1195.0	
251	1162.0	
252	1214.0	
253	1202.0	
254	1161.0	
255	1210.0	
256	1195.0	
257	1203.0	
258	1179.0	
259	1182.0	
260	1191.0	
261	1179.0	
262	1196.0	
263	1169.0	
264	1176.0	
265	1158.0	
266	1174.0	
267	1134.0	
268	1158.0	
269	1124.0	
270	1155.0	
271	1132.0	
272	1131.0	
273	1153.0	
274	1096.0	
275	1121.0	
276	1139.0	
277	1162.0	
278	1131.0	
279	1094.0	
280	1129.0	
281	1108.0	
282	1119.0	
283	1112.0	
284	1106.0	
285	1109.0	
286	1104.0	
287	1097.0	
288	1078.0	
289	1082.0	
290	1087.0	
291	1084.0	
292	1097.0	
293	1073.0	
294	1071.0	
295	1087.0	
296	1075.0	
297	1070.0	
298	1063.0	
299	1055.0	
300	1060.0	
301	1082.0	
302	1043.0	
303	1039.0	
304	1041.0	
305	1045.0	
306	1061.0	
