 - 0.	 - 0.	
0	5817.0	
1	5715.0	
2	5703.0	
3	5624.0	
4	5644.0	
5	5580.0	
6	5482.0	
7	5481.0	
8	5367.0	
9	5401.0	
10	5358.0	
11	5274.0	
12	5290.0	
13	5114.0	
14	5157.0	
15	5081.0	
16	5068.0	
17	5044.0	
18	4920.0	
19	4939.0	
20	4890.0	
21	4885.0	
22	4819.0	
23	4854.0	
24	4764.0	
25	4716.0	
26	4682.0	
27	4606.0	
28	4560.0	
29	4549.0	
30	4607.0	
31	4572.0	
32	4494.0	
33	4452.0	
34	4415.0	
35	4303.0	
36	4373.0	
37	4315.0	
38	4297.0	
39	4195.0	
40	4206.0	
41	4244.0	
42	4142.0	
43	4085.0	
44	4075.0	
45	4132.0	
46	4073.0	
47	4125.0	
48	3982.0	
49	3989.0	
50	3973.0	
51	3955.0	
52	3894.0	
53	3897.0	
54	3883.0	
55	3852.0	
56	3859.0	
57	3798.0	
58	3763.0	
59	3723.0	
60	3747.0	
61	3702.0	
62	3698.0	
63	3672.0	
64	3705.0	
65	3649.0	
66	3612.0	
67	3541.0	
68	3565.0	
69	3546.0	
70	3547.0	
71	3491.0	
72	3508.0	
73	3444.0	
74	3426.0	
75	3470.0	
76	3466.0	
77	3474.0	
78	3417.0	
79	3351.0	
80	3416.0	
81	2445.0	
82	3440.0	
83	3356.0	
84	3309.0	
85	3325.0	
86	3316.0	
87	3258.0	
88	3215.0	
89	3223.0	
90	3234.0	
91	3178.0	
92	3157.0	
93	3176.0	
94	3149.0	
95	3082.0	
96	3149.0	
97	3097.0	
98	3092.0	
99	3074.0	
100	3007.0	
101	3015.0	
102	3019.0	
103	2986.0	
104	2963.0	
105	2967.0	
106	2934.0	
107	2849.0	
108	2850.0	
109	2856.0	
110	2794.0	
111	2770.0	
112	2780.0	
113	2793.0	
114	2775.0	
115	2739.0	
116	2684.0	
117	2658.0	
118	2677.0	
119	2635.0	
120	2591.0	
121	2558.0	
122	2510.0	
123	2492.0	
124	2536.0	
125	2482.0	
126	2501.0	
127	2417.0	
128	2431.0	
129	2459.0	
130	2372.0	
131	2367.0	
132	2302.0	
133	2336.0	
134	2238.0	
135	2239.0	
136	2229.0	
137	2217.0	
138	2151.0	
139	2133.0	
140	2108.0	
141	2079.0	
142	2134.0	
143	2046.0	
144	2047.0	
145	2018.0	
146	2007.0	
147	1991.0	
148	1966.0	
149	1959.0	
150	1983.0	
151	1944.0	
152	1877.0	
153	1888.0	
154	1851.0	
155	1838.0	
156	1816.0	
157	1860.0	
158	1835.0	
159	1768.0	
160	1744.0	
161	1732.0	
162	1741.0	
163	1743.0	
164	1727.0	
165	1706.0	
166	1690.0	
167	1676.0	
168	1677.0	
169	1673.0	
170	1627.0	
171	1635.0	
172	1625.0	
173	1599.0	
174	1580.0	
175	1540.0	
176	1539.0	
177	1557.0	
178	1531.0	
179	1559.0	
180	1535.0	
181	1566.0	
182	1483.0	
183	1469.0	
184	1479.0	
185	1471.0	
186	1456.0	
187	1586.0	
188	1993.0	
189	1454.0	
190	1416.0	
191	1439.0	
192	1432.0	
193	1369.0	
194	1396.0	
195	1393.0	
196	1386.0	
197	1382.0	
198	1345.0	
199	1339.0	
200	1358.0	
201	1338.0	
202	1326.0	
203	1310.0	
204	1315.0	
205	1323.0	
206	1295.0	
207	1290.0	
208	1271.0	
209	1295.0	
210	1273.0	
211	1283.0	
212	1279.0	
213	1251.0	
214	1244.0	
215	1268.0	
216	1242.0	
217	1243.0	
218	1214.0	
219	1255.0	
220	1245.0	
221	1222.0	
222	1234.0	
223	1232.0	
224	1201.0	
225	1198.0	
226	1224.0	
227	1210.0	
228	1213.0	
229	1187.0	
230	1187.0	
231	1197.0	
232	1181.0	
233	1167.0	
234	1197.0	
235	1167.0	
236	1173.0	
237	1159.0	
238	1170.0	
239	1135.0	
240	1149.0	
241	1147.0	
242	1151.0	
243	1143.0	
244	1149.0	
245	1157.0	
246	1138.0	
247	1143.0	
248	1122.0	
249	1107.0	
250	1125.0	
251	1094.0	
252	1102.0	
253	1127.0	
254	1118.0	
255	1113.0	
256	1113.0	
257	1097.0	
258	1097.0	
259	1086.0	
260	1086.0	
261	1107.0	
262	1095.0	
263	1071.0	
264	1048.0	
265	1080.0	
266	1071.0	
267	1068.0	
268	1059.0	
269	1067.0	
270	1060.0	
271	1060.0	
272	1064.0	
273	1058.0	
274	1050.0	
275	1047.0	
276	1030.0	
277	1030.0	
278	1056.0	
279	1025.0	
280	1043.0	
281	1044.0	
282	1033.0	
283	1036.0	
284	1043.0	
285	1015.0	
286	1019.0	
287	1021.0	
288	1023.0	
289	1012.0	
290	1019.0	
291	1013.0	
292	1008.0	
293	1019.0	
294	1009.0	
295	1011.0	
296	1003.0	
297	1005.0	
298	1004.0	
299	986.0	
300	999.0	
301	1010.0	
302	1007.0	
303	993.0	
304	971.0	
305	981.0	
306	985.0	
307	967.0	
308	984.0	
309	962.0	
310	979.0	
311	983.0	
312	957.0	
313	977.0	
314	978.0	
315	972.0	
316	938.0	
317	978.0	
318	968.0	
319	943.0	
320	953.0	
321	966.0	
322	971.0	
323	950.0	
324	931.0	
325	957.0	
326	950.0	
327	949.0	
328	951.0	
329	953.0	
330	946.0	
331	942.0	
332	962.0	
333	949.0	
334	949.0	
335	937.0	
336	957.0	
337	941.0	
338	935.0	
339	940.0	
340	938.0	
341	946.0	
342	935.0	
343	934.0	
344	956.0	
345	931.0	
346	923.0	
347	955.0	
348	944.0	
349	940.0	
350	939.0	
351	950.0	
352	946.0	
353	948.0	
354	931.0	
355	941.0	
356	927.0	
357	925.0	
358	933.0	
359	917.0	
360	938.0	
361	934.0	
362	954.0	
363	945.0	
364	949.0	
365	944.0	
366	944.0	
367	937.0	
368	946.0	
369	928.0	
370	942.0	
371	923.0	
372	932.0	
373	921.0	
374	926.0	
375	927.0	
376	959.0	
377	940.0	
378	944.0	
379	953.0	
380	945.0	
381	935.0	
382	952.0	
383	938.0	
384	946.0	
385	935.0	
386	925.0	
387	938.0	
388	945.0	
389	938.0	
390	952.0	
391	933.0	
392	935.0	
393	934.0	
394	964.0	
395	931.0	
396	933.0	
397	921.0	
398	923.0	
399	928.0	
400	949.0	
401	945.0	
402	953.0	
403	950.0	
404	928.0	
405	947.0	
406	935.0	
407	951.0	
408	953.0	
409	947.0	
410	930.0	
411	949.0	
412	966.0	
413	944.0	
414	943.0	
415	956.0	
416	954.0	
417	946.0	
418	924.0	
419	932.0	
420	938.0	
421	923.0	
422	937.0	
423	932.0	
424	922.0	
425	946.0	
426	929.0	
427	934.0	
428	938.0	
429	931.0	
430	937.0	
431	946.0	
432	920.0	
433	931.0	
434	941.0	
435	931.0	
436	928.0	
437	927.0	
438	927.0	
439	916.0	
440	951.0	
441	938.0	
442	943.0	
443	933.0	
444	917.0	
445	923.0	
446	926.0	
447	933.0	
448	929.0	
449	909.0	
450	919.0	
451	915.0	
452	930.0	
453	915.0	
454	921.0	
455	950.0	
456	912.0	
457	927.0	
458	921.0	
459	918.0	
460	924.0	
461	915.0	
462	932.0	
463	914.0	
464	925.0	
465	907.0	
466	933.0	
467	924.0	
468	918.0	
469	927.0	
470	912.0	
471	918.0	
472	911.0	
473	910.0	
474	924.0	
475	923.0	
476	918.0	
477	910.0	
478	927.0	
479	909.0	
480	911.0	
481	909.0	
482	900.0	
483	912.0	
484	907.0	
485	910.0	
486	907.0	
487	895.0	
488	913.0	
489	891.0	
490	924.0	
491	898.0	
492	903.0	
493	906.0	
494	909.0	
495	899.0	
496	893.0	
497	913.0	
498	903.0	
499	904.0	
500	900.0	
501	902.0	
502	919.0	
503	908.0	
504	916.0	
505	921.0	
506	917.0	
507	917.0	
508	930.0	
509	908.0	
510	910.0	
511	905.0	
512	916.0	
513	916.0	
514	924.0	
515	914.0	
516	913.0	
517	928.0	
518	915.0	
519	918.0	
520	925.0	
521	912.0	
522	913.0	
523	915.0	
524	915.0	
525	917.0	
526	911.0	
527	930.0	
528	927.0	
529	919.0	
530	912.0	
531	912.0	
532	930.0	
533	903.0	
534	928.0	
535	912.0	
536	919.0	
537	931.0	
538	919.0	
539	933.0	
540	917.0	
541	922.0	
542	934.0	
543	911.0	
544	920.0	
545	932.0	
546	918.0	
547	923.0	
548	904.0	
549	925.0	
550	895.0	
551	927.0	
552	918.0	
553	929.0	
554	924.0	
555	930.0	
556	928.0	
557	911.0	
558	906.0	
559	911.0	
560	925.0	
561	931.0	
562	911.0	
563	931.0	
564	904.0	
565	921.0	
566	915.0	
567	919.0	
568	919.0	
569	918.0	
570	918.0	
571	921.0	
572	937.0	
573	919.0	
574	913.0	
575	923.0	
576	925.0	
577	913.0	
578	923.0	
579	900.0	
580	924.0	
581	917.0	
582	916.0	
583	904.0	
584	914.0	
585	902.0	
586	912.0	
587	916.0	
588	920.0	
589	892.0	
590	910.0	
591	906.0	
592	911.0	
593	903.0	
594	904.0	
595	909.0	
596	916.0	
597	917.0	
598	891.0	
599	907.0	
600	907.0	
601	905.0	
602	921.0	
603	920.0	
604	909.0	
605	906.0	
606	914.0	
607	905.0	
608	922.0	
609	893.0	
610	922.0	
611	902.0	
612	921.0	
613	907.0	
614	904.0	
615	916.0	
616	910.0	
617	925.0	
618	907.0	
619	908.0	
620	917.0	
621	904.0	
622	916.0	
623	909.0	
624	916.0	
625	916.0	
626	923.0	
627	930.0	
628	915.0	
629	914.0	
630	909.0	
631	925.0	
632	912.0	
633	923.0	
634	920.0	
635	907.0	
636	917.0	
637	929.0	
638	919.0	
639	925.0	
640	928.0	
641	929.0	
642	935.0	
643	927.0	
644	910.0	
645	933.0	
646	932.0	
647	945.0	
648	921.0	
649	929.0	
650	919.0	
651	932.0	
652	922.0	
653	916.0	
654	924.0	
655	928.0	
656	935.0	
657	926.0	
658	923.0	
659	929.0	
660	946.0	
661	936.0	
662	955.0	
663	943.0	
664	934.0	
665	943.0	
666	939.0	
667	939.0	
668	952.0	
669	941.0	
670	936.0	
671	930.0	
672	951.0	
673	939.0	
674	931.0	
675	922.0	
676	941.0	
677	955.0	
678	954.0	
679	950.0	
680	964.0	
681	944.0	
682	941.0	
683	957.0	
684	926.0	
685	944.0	
686	948.0	
687	954.0	
688	955.0	
689	937.0	
690	941.0	
691	962.0	
692	972.0	
693	947.0	
694	959.0	
695	966.0	
696	946.0	
697	965.0	
698	982.0	
699	968.0	
700	961.0	
701	965.0	
702	990.0	
703	959.0	
704	954.0	
705	963.0	
706	964.0	
707	967.0	
708	983.0	
709	954.0	
710	969.0	
711	959.0	
712	949.0	
713	949.0	
714	970.0	
715	956.0	
716	961.0	
717	962.0	
718	971.0	
719	902.0	
720	959.0	
721	963.0	
722	976.0	
723	941.0	
724	948.0	
725	941.0	
726	968.0	
727	966.0	
728	954.0	
729	949.0	
730	966.0	
731	952.0	
732	953.0	
733	974.0	
734	940.0	
735	949.0	
736	971.0	
737	946.0	
738	952.0	
739	943.0	
740	967.0	
741	958.0	
742	957.0	
743	964.0	
744	967.0	
745	986.0	
746	980.0	
747	976.0	
748	973.0	
749	994.0	
750	987.0	
751	990.0	
752	1020.0	
753	1011.0	
754	992.0	
755	1004.0	
756	1020.0	
757	1023.0	
758	1038.0	
759	1039.0	
760	1039.0	
761	1067.0	
762	1062.0	
763	1078.0	
764	1095.0	
765	1122.0	
766	1132.0	
767	1160.0	
768	1184.0	
769	1200.0	
770	1218.0	
771	1241.0	
772	1237.0	
773	1283.0	
774	1243.0	
775	1243.0	
776	1265.0	
777	1258.0	
778	1274.0	
779	1255.0	
780	1250.0	
781	1235.0	
782	1221.0	
783	1220.0	
784	1225.0	
785	1218.0	
786	1208.0	
787	1212.0	
788	1217.0	
789	1193.0	
790	1213.0	
791	1235.0	
792	1191.0	
793	1189.0	
794	1156.0	
795	1212.0	
796	1211.0	
797	1207.0	
798	1199.0	
799	1190.0	
800	1226.0	
801	1213.0	
802	1194.0	
803	1215.0	
804	1199.0	
805	1230.0	
806	1220.0	
807	1215.0	
808	1250.0	
809	1229.0	
810	1233.0	
811	1247.0	
812	1253.0	
813	1254.0	
814	1301.0	
815	1304.0	
816	1318.0	
817	1333.0	
818	1341.0	
819	1355.0	
820	1407.0	
821	1440.0	
822	1456.0	
823	1466.0	
824	1493.0	
825	1553.0	
826	1596.0	
827	1674.0	
828	1718.0	
829	1854.0	
830	1967.0	
831	2128.0	
832	2341.0	
833	2514.0	
834	2734.0	
835	2875.0	
836	2987.0	
837	3067.0	
838	3191.0	
839	3171.0	
840	3171.0	
841	3105.0	
842	3002.0	
843	2962.0	
844	2889.0	
845	2708.0	
846	2682.0	
847	2511.0	
