 - 0.	 - 0.	
0	760.0	
1	781.0	
2	802.0	
3	791.0	
4	789.0	
5	804.0	
6	790.0	
7	796.0	
8	791.0	
9	783.0	
10	775.0	
11	785.0	
12	800.0	
13	801.0	
14	804.0	
15	788.0	
16	795.0	
17	793.0	
18	796.0	
19	790.0	
20	800.0	
21	800.0	
22	787.0	
23	788.0	
24	782.0	
25	797.0	
26	799.0	
27	802.0	
28	796.0	
29	794.0	
30	810.0	
31	787.0	
32	804.0	
33	801.0	
34	788.0	
35	791.0	
36	801.0	
37	785.0	
38	796.0	
39	812.0	
40	788.0	
41	787.0	
42	793.0	
43	796.0	
44	799.0	
45	797.0	
46	782.0	
47	796.0	
48	800.0	
49	797.0	
50	805.0	
51	791.0	
52	795.0	
53	798.0	
54	802.0	
55	795.0	
56	785.0	
57	799.0	
58	808.0	
59	786.0	
60	791.0	
61	789.0	
62	793.0	
63	788.0	
64	799.0	
65	797.0	
66	792.0	
67	798.0	
68	793.0	
69	797.0	
70	801.0	
71	789.0	
72	789.0	
73	783.0	
74	793.0	
75	796.0	
76	799.0	
77	801.0	
78	794.0	
79	806.0	
80	782.0	
81	797.0	
82	796.0	
83	798.0	
84	782.0	
85	791.0	
86	795.0	
87	792.0	
88	783.0	
89	794.0	
90	791.0	
91	804.0	
92	799.0	
93	793.0	
94	797.0	
95	800.0	
96	805.0	
97	785.0	
98	820.0	
99	783.0	
100	804.0	
101	797.0	
102	787.0	
103	795.0	
104	791.0	
105	794.0	
106	790.0	
107	785.0	
108	798.0	
109	797.0	
110	809.0	
111	789.0	
112	800.0	
113	801.0	
114	793.0	
115	794.0	
116	800.0	
117	806.0	
118	807.0	
119	799.0	
120	799.0	
121	787.0	
122	798.0	
123	794.0	
124	788.0	
125	808.0	
126	798.0	
127	802.0	
128	788.0	
129	789.0	
130	795.0	
131	778.0	
132	799.0	
133	801.0	
134	793.0	
135	792.0	
136	807.0	
137	802.0	
138	796.0	
139	790.0	
140	814.0	
141	796.0	
142	799.0	
143	799.0	
144	799.0	
145	796.0	
146	792.0	
147	811.0	
148	799.0	
149	798.0	
150	802.0	
151	793.0	
152	800.0	
153	781.0	
154	798.0	
155	798.0	
156	811.0	
157	797.0	
158	793.0	
159	789.0	
160	799.0	
161	794.0	
162	788.0	
163	793.0	
164	801.0	
165	790.0	
166	794.0	
167	795.0	
168	799.0	
169	787.0	
170	799.0	
171	802.0	
172	812.0	
173	789.0	
174	800.0	
175	792.0	
176	797.0	
177	810.0	
178	799.0	
179	798.0	
180	793.0	
181	787.0	
182	794.0	
183	798.0	
184	800.0	
185	796.0	
186	796.0	
187	808.0	
188	806.0	
189	792.0	
190	806.0	
191	789.0	
192	799.0	
193	799.0	
194	790.0	
195	798.0	
196	807.0	
197	794.0	
198	807.0	
199	794.0	
200	799.0	
201	792.0	
202	789.0	
203	792.0	
204	800.0	
205	786.0	
206	785.0	
207	793.0	
208	793.0	
209	794.0	
210	809.0	
211	794.0	
212	802.0	
213	787.0	
214	796.0	
215	804.0	
216	793.0	
217	794.0	
218	799.0	
219	793.0	
220	802.0	
221	800.0	
222	799.0	
223	796.0	
224	788.0	
225	788.0	
226	788.0	
227	805.0	
228	791.0	
229	789.0	
230	794.0	
231	798.0	
232	799.0	
233	795.0	
234	794.0	
235	811.0	
236	791.0	
237	798.0	
238	789.0	
239	807.0	
240	793.0	
241	802.0	
242	801.0	
243	792.0	
244	790.0	
245	799.0	
246	807.0	
247	797.0	
248	792.0	
249	798.0	
250	801.0	
251	779.0	
252	801.0	
253	803.0	
254	796.0	
255	799.0	
256	789.0	
257	802.0	
258	793.0	
259	802.0	
260	786.0	
261	808.0	
262	791.0	
263	796.0	
264	804.0	
265	804.0	
266	799.0	
267	792.0	
268	809.0	
269	809.0	
270	802.0	
271	797.0	
272	809.0	
273	797.0	
274	802.0	
275	790.0	
276	803.0	
277	804.0	
278	793.0	
279	793.0	
280	798.0	
281	802.0	
282	802.0	
283	804.0	
284	795.0	
285	802.0	
286	802.0	
287	804.0	
288	789.0	
289	799.0	
290	798.0	
291	795.0	
292	806.0	
293	809.0	
294	790.0	
295	800.0	
296	803.0	
297	799.0	
298	799.0	
299	793.0	
300	786.0	
301	795.0	
302	802.0	
303	803.0	
304	788.0	
305	810.0	
306	802.0	
307	793.0	
308	801.0	
309	807.0	
310	795.0	
311	801.0	
312	794.0	
313	798.0	
314	798.0	
315	796.0	
316	800.0	
317	804.0	
318	795.0	
319	796.0	
320	794.0	
321	803.0	
322	801.0	
323	806.0	
324	790.0	
325	796.0	
326	801.0	
327	808.0	
328	805.0	
329	805.0	
330	810.0	
331	799.0	
332	775.0	
333	798.0	
334	800.0	
335	804.0	
336	793.0	
337	791.0	
338	802.0	
339	810.0	
340	815.0	
341	810.0	
342	799.0	
343	813.0	
344	795.0	
345	801.0	
346	808.0	
347	789.0	
348	805.0	
349	799.0	
350	795.0	
351	813.0	
352	808.0	
353	812.0	
354	805.0	
355	810.0	
356	799.0	
357	801.0	
358	809.0	
359	801.0	
360	803.0	
361	797.0	
362	806.0	
363	796.0	
364	804.0	
365	799.0	
366	800.0	
367	802.0	
368	813.0	
369	794.0	
370	805.0	
371	800.0	
372	792.0	
373	798.0	
374	802.0	
375	804.0	
376	798.0	
377	810.0	
378	807.0	
379	801.0	
380	792.0	
381	797.0	
382	798.0	
383	802.0	
384	800.0	
385	804.0	
386	801.0	
387	788.0	
388	799.0	
389	789.0	
390	798.0	
391	802.0	
392	804.0	
393	801.0	
394	803.0	
395	793.0	
396	795.0	
397	794.0	
398	802.0	
399	797.0	
400	806.0	
401	804.0	
402	794.0	
403	809.0	
404	797.0	
405	799.0	
406	803.0	
407	804.0	
408	801.0	
409	809.0	
410	797.0	
411	804.0	
412	801.0	
413	805.0	
414	799.0	
415	795.0	
416	800.0	
417	786.0	
418	813.0	
419	810.0	
420	806.0	
421	802.0	
422	800.0	
423	794.0	
424	799.0	
425	797.0	
426	811.0	
427	806.0	
428	806.0	
429	792.0	
430	799.0	
431	797.0	
432	787.0	
433	795.0	
434	788.0	
435	801.0	
436	799.0	
437	802.0	
438	808.0	
439	809.0	
440	798.0	
441	804.0	
442	799.0	
443	798.0	
444	803.0	
445	795.0	
446	793.0	
447	795.0	
448	795.0	
449	806.0	
450	795.0	
451	797.0	
452	799.0	
453	807.0	
454	794.0	
455	799.0	
456	799.0	
457	787.0	
458	795.0	
459	798.0	
460	809.0	
461	805.0	
462	789.0	
463	801.0	
464	787.0	
465	794.0	
466	792.0	
467	798.0	
468	804.0	
469	791.0	
470	799.0	
471	799.0	
472	801.0	
473	801.0	
474	787.0	
475	792.0	
476	799.0	
477	807.0	
478	791.0	
479	785.0	
480	797.0	
481	807.0	
482	799.0	
483	807.0	
484	794.0	
485	790.0	
486	802.0	
487	790.0	
488	794.0	
489	799.0	
490	800.0	
491	799.0	
492	811.0	
493	805.0	
494	793.0	
495	801.0	
496	801.0	
497	802.0	
498	797.0	
499	790.0	
500	795.0	
501	801.0	
502	796.0	
503	805.0	
504	796.0	
505	783.0	
506	799.0	
507	795.0	
508	798.0	
509	794.0	
510	799.0	
511	801.0	
512	803.0	
513	796.0	
514	796.0	
515	801.0	
516	784.0	
517	804.0	
518	803.0	
519	783.0	
520	799.0	
521	801.0	
522	793.0	
523	809.0	
524	779.0	
525	794.0	
526	803.0	
527	791.0	
528	796.0	
529	787.0	
530	812.0	
531	795.0	
532	792.0	
533	810.0	
534	787.0	
535	791.0	
536	784.0	
537	809.0	
538	804.0	
539	802.0	
540	794.0	
541	804.0	
542	794.0	
543	792.0	
544	787.0	
545	805.0	
546	799.0	
547	790.0	
548	812.0	
549	796.0	
550	796.0	
551	798.0	
552	801.0	
553	784.0	
554	792.0	
555	805.0	
556	792.0	
557	793.0	
558	795.0	
559	797.0	
560	800.0	
561	798.0	
562	802.0	
563	798.0	
564	803.0	
565	799.0	
566	801.0	
567	789.0	
568	787.0	
569	792.0	
570	807.0	
571	799.0	
572	803.0	
573	798.0	
574	789.0	
575	805.0	
576	786.0	
577	813.0	
578	791.0	
579	794.0	
580	807.0	
581	804.0	
582	806.0	
583	797.0	
584	798.0	
585	793.0	
586	795.0	
587	799.0	
588	792.0	
589	793.0	
590	801.0	
591	801.0	
592	802.0	
593	802.0	
594	802.0	
595	794.0	
596	802.0	
597	802.0	
598	799.0	
599	806.0	
600	799.0	
601	794.0	
602	797.0	
603	794.0	
604	811.0	
605	794.0	
606	797.0	
607	794.0	
608	805.0	
609	798.0	
610	789.0	
611	795.0	
612	790.0	
613	790.0	
614	787.0	
615	788.0	
616	805.0	
617	799.0	
618	800.0	
619	797.0	
620	804.0	
621	787.0	
622	793.0	
623	792.0	
624	799.0	
625	790.0	
626	795.0	
627	799.0	
628	806.0	
629	788.0	
630	787.0	
631	797.0	
632	800.0	
633	794.0	
634	790.0	
635	801.0	
636	806.0	
637	803.0	
638	806.0	
639	796.0	
640	795.0	
641	798.0	
642	797.0	
643	800.0	
644	792.0	
645	799.0	
646	795.0	
647	792.0	
648	812.0	
649	799.0	
