 - 0.	 - 0.	
0	732.0	
1	773.0	
2	774.0	
3	771.0	
4	777.0	
5	776.0	
6	775.0	
7	779.0	
8	777.0	
9	771.0	
10	795.0	
11	786.0	
12	805.0	
13	829.0	
14	837.0	
15	826.0	
16	835.0	
17	813.0	
18	785.0	
19	777.0	
20	761.0	
21	784.0	
22	780.0	
23	786.0	
24	778.0	
25	782.0	
26	774.0	
27	781.0	
28	783.0	
29	772.0	
30	782.0	
31	770.0	
32	773.0	
33	770.0	
34	775.0	
35	777.0	
36	780.0	
37	782.0	
38	779.0	
39	780.0	
40	787.0	
41	778.0	
42	772.0	
43	787.0	
44	777.0	
45	774.0	
46	786.0	
47	786.0	
48	781.0	
49	776.0	
50	777.0	
51	767.0	
52	782.0	
53	779.0	
54	767.0	
55	782.0	
56	785.0	
57	777.0	
58	775.0	
59	775.0	
60	787.0	
61	778.0	
62	785.0	
63	788.0	
64	773.0	
65	783.0	
66	777.0	
67	781.0	
68	775.0	
69	778.0	
70	776.0	
71	780.0	
72	782.0	
73	775.0	
74	778.0	
75	778.0	
76	771.0	
77	783.0	
78	775.0	
79	772.0	
80	782.0	
81	772.0	
82	774.0	
83	782.0	
84	773.0	
85	774.0	
86	774.0	
87	779.0	
88	777.0	
89	771.0	
90	783.0	
91	782.0	
92	790.0	
93	784.0	
94	774.0	
95	794.0	
96	775.0	
97	791.0	
98	784.0	
99	776.0	
100	782.0	
101	780.0	
102	784.0	
103	781.0	
104	771.0	
105	782.0	
106	786.0	
107	794.0	
108	778.0	
109	778.0	
110	784.0	
111	772.0	
112	778.0	
113	790.0	
114	782.0	
115	799.0	
116	773.0	
117	775.0	
118	785.0	
119	772.0	
120	785.0	
121	785.0	
122	757.0	
123	794.0	
124	780.0	
125	780.0	
126	784.0	
127	782.0	
128	782.0	
129	778.0	
130	776.0	
131	780.0	
132	778.0	
133	790.0	
134	777.0	
135	783.0	
136	775.0	
137	775.0	
138	791.0	
139	775.0	
140	783.0	
141	783.0	
142	787.0	
143	771.0	
144	780.0	
145	780.0	
146	771.0	
147	781.0	
148	783.0	
149	773.0	
150	783.0	
151	782.0	
152	782.0	
153	778.0	
154	778.0	
